replica_pid,successful_requests,stable_successful_requests,stable_throughput_ops_per_sec
1,18883,11839,177.7498959121893
2,17110,11556,173.5009542327274
3,15870,11216,168.3962186460947
4,17881,13104,196.7425150801021
5,14932,10778,161.82011809625612
