[2026-09-03T11:08:59.777Z INFO  gresse::http_server] running CRDT HTTP server
[2026-09-03T11:08:59.778Z INFO  gresse::http_server] listening for HTTP on 0.0.0.0:18082
[2026-09-03T11:08:59.807Z INFO  gresse::replica] replica 178842684114092215 initiating runtime at bind_http=0.0.0.0:18082 bind_internal=0.0.0.0:19082 advertised_internal=34.246.191.174:19082
[2026-09-03T11:08:59.965Z INFO  gresse::object_storage] object storage connection established: backend=s3, bucket=gresse-geo-035351467464-20260903085118-6fb999, region=eu-north-1, endpoint=AWS default endpoint resolution, first_operation=get, object_path=acm-sec-geo-churn-20260903T091329Z-d96b4f84/persistent.json
[2026-09-03T11:09:01.326Z INFO  gresse::replica] replica 178842684114092215 discovered 142 membership descriptors during init
[2026-09-03T11:09:01.326Z INFO  gresse::replica] replica 178842684114092215 startup completed
[2026-09-03T11:09:01.326Z INFO  gresse::network] replica 178842684114092215 discovered network member NetworkMember { pid: 178842683849154810, address: 13.53.121.51:19080, final_counter: None }
[2026-09-03T11:09:01.326Z INFO  gresse::network] replica 178842684114092215 discovered network member NetworkMember { pid: 178842683849155813, address: 13.53.121.51:19081, final_counter: None }
[2026-09-03T11:09:01.326Z INFO  gresse::network] replica 178842684114092215 discovered network member NetworkMember { pid: 178842683849156813, address: 13.53.121.51:19082, final_counter: None }
[2026-09-03T11:09:01.326Z INFO  gresse::network] replica 178842684114092215 discovered network member NetworkMember { pid: 178842683849157813, address: 13.53.121.51:19083, final_counter: None }
[2026-09-03T11:09:01.326Z INFO  gresse::network] replica 178842684114092215 discovered network member NetworkMember { pid: 178842683849158812, address: 13.53.121.51:19084, final_counter: None }
[2026-09-03T11:09:01.326Z INFO  gresse::network] replica 178842684114092215 discovered network member NetworkMember { pid: 178842683956181215, address: 52.59.198.67:19080, final_counter: None }
[2026-09-03T11:09:01.326Z INFO  gresse::network] replica 178842684114092215 discovered network member NetworkMember { pid: 178842683956182215, address: 52.59.198.67:19081, final_counter: None }
[2026-09-03T11:09:01.326Z INFO  gresse::network] replica 178842684114092215 discovered network member NetworkMember { pid: 178842683956183215, address: 52.59.198.67:19082, final_counter: None }
