sample_index,peer_replicas,network_latency_ms,network_latency_jitter_ms,process_start_us,logging_initialized_us,config_loaded_us,replica_with_config_completed_us,replica_task_spawned_us,crdt_pid_set_us,http_server_ready_us,network_manager_ready_us,metric_writer_ready_us,object_storage_client_start_us,object_storage_client_ready_us,replica_run_start_us,replica_init_start_us,persistent_state_fetch_completed_us,membership_descriptor_write_completed_us,membership_directory_read_completed_us,replica_init_completed_us,logging_initialized_delta_us,config_loaded_delta_us,replica_with_config_completed_delta_us,replica_task_spawned_delta_us,crdt_pid_set_delta_us,http_server_ready_delta_us,network_manager_ready_delta_us,metric_writer_ready_delta_us,object_storage_client_start_delta_us,object_storage_client_ready_delta_us,replica_run_start_delta_us,replica_init_start_delta_us,persistent_state_fetch_completed_delta_us,membership_descriptor_write_completed_delta_us,membership_directory_read_completed_delta_us,replica_init_completed_delta_us,sample_dir,persistent_path,membership_path
53,1,0,0,1778233513997603,1778233513997628,1778233513997652,1778233514345486,1778233514345496,1778233513997657,1778233513997728,1778233513997759,1778233513997939,1778233513997939,1778233514345481,1778233514345522,1778233514345557,1778233514401476,1778233514406844,1778233514430189,1778233514430235,25,49,347883,347893,54,125,156,336,336,347878,347919,347954,403873,409241,432586,432632,/Users/adam/Dev/Gresse/results/cold-start-s3-100/sample_053,experiment1/cold-start/persistent.json,experiment1/cold-start/membership
54,1,0,0,1778233516839601,1778233516839620,1778233516839679,1778233517173711,1778233517173723,1778233516839682,1778233516839738,1778233516839767,1778233516839911,1778233516839911,1778233517173706,1778233517173751,1778233517173769,1778233517226612,1778233517236809,1778233517256703,1778233517256771,19,78,334110,334122,81,137,166,310,310,334105,334150,334168,387011,397208,417102,417170,/Users/adam/Dev/Gresse/results/cold-start-s3-100/sample_054,experiment1/cold-start/persistent.json,experiment1/cold-start/membership
55,1,0,0,1778233519560970,1778233519560995,1778233519561018,1778233519870271,1778233519870280,1778233519561022,1778233519561090,1778233519561124,1778233519561290,1778233519561290,1778233519870266,1778233519870309,1778233519870325,1778233519922081,1778233519927313,1778233519950069,1778233519950116,25,48,309301,309310,52,120,154,320,320,309296,309339,309355,361111,366343,389099,389146,/Users/adam/Dev/Gresse/results/cold-start-s3-100/sample_055,experiment1/cold-start/persistent.json,experiment1/cold-start/membership
56,1,0,0,1778233522413262,1778233522413284,1778233522413304,1778233522737490,1778233522737502,1778233522413308,1778233522413373,1778233522413405,1778233522413562,1778233522413562,1778233522737486,1778233522737529,1778233522737545,1778233522940863,1778233522804640,1778233522941019,1778233522941069,22,42,324228,324240,46,111,143,300,300,324224,324267,324283,527601,391378,527757,527807,/Users/adam/Dev/Gresse/results/cold-start-s3-100/sample_056,experiment1/cold-start/persistent.json,experiment1/cold-start/membership
57,1,0,0,1778233525249478,1778233525249506,1778233525249529,1778233525606058,1778233525606070,1778233525249534,1778233525249607,1778233525249640,1778233525249825,1778233525249826,1778233525606052,1778233525606106,1778233525606127,1778233525674283,1778233525669884,1778233525692920,1778233525692968,28,51,356580,356592,56,129,162,347,348,356574,356628,356649,424805,420406,443442,443490,/Users/adam/Dev/Gresse/results/cold-start-s3-100/sample_057,experiment1/cold-start/persistent.json,experiment1/cold-start/membership
58,1,0,0,1778233528046011,1778233528046036,1778233528046060,1778233528375921,1778233528375934,1778233528046065,1778233528046132,1778233528046167,1778233528046345,1778233528046346,1778233528375917,1778233528375960,1778233528375976,1778233528436302,1778233528447911,1778233528470062,1778233528470134,25,49,329910,329923,54,121,156,334,335,329906,329949,329965,390291,401900,424051,424123,/Users/adam/Dev/Gresse/results/cold-start-s3-100/sample_058,experiment1/cold-start/persistent.json,experiment1/cold-start/membership
59,1,0,0,1778233530863339,1778233530863376,1778233530863400,1778233531177211,1778233531177220,1778233530863405,1778233530863467,1778233530863515,1778233530863690,1778233530863690,1778233531177206,1778233531177251,1778233531177269,1778233531252123,1778233531262987,1778233531290180,1778233531290225,37,61,313872,313881,66,128,176,351,351,313867,313912,313930,388784,399648,426841,426886,/Users/adam/Dev/Gresse/results/cold-start-s3-100/sample_059,experiment1/cold-start/persistent.json,experiment1/cold-start/membership
60,1,0,0,1778233533652340,1778233533652365,1778233533652387,1778233533977097,1778233533977111,1778233533652392,1778233533652456,1778233533652490,1778233533652651,1778233533652651,1778233533977092,1778233533977163,1778233533977186,1778233534033130,1778233534043690,1778233534063114,1778233534063165,25,47,324757,324771,52,116,150,311,311,324752,324823,324846,380790,391350,410774,410825,/Users/adam/Dev/Gresse/results/cold-start-s3-100/sample_060,experiment1/cold-start/persistent.json,experiment1/cold-start/membership
61,1,0,0,1778233536400109,1778233536400138,1778233536400162,1778233536880107,1778233536880141,1778233536400167,1778233536400259,1778233536400301,1778233536400536,1778233536400536,1778233536880095,1778233536880172,1778233536880194,1778233536936924,1778233536961233,1778233536987360,1778233536987410,29,53,479998,480032,58,150,192,427,427,479986,480063,480085,536815,561124,587251,587301,/Users/adam/Dev/Gresse/results/cold-start-s3-100/sample_061,experiment1/cold-start/persistent.json,experiment1/cold-start/membership
62,1,0,0,1778233539334160,1778233539334186,1778233539334206,1778233539674532,1778233539674542,1778233539334212,1778233539334271,1778233539334299,1778233539334446,1778233539334446,1778233539674527,1778233539674591,1778233539674625,1778233539734891,1778233539727181,1778233539754389,1778233539754439,26,46,340372,340382,52,111,139,286,286,340367,340431,340465,400731,393021,420229,420279,/Users/adam/Dev/Gresse/results/cold-start-s3-100/sample_062,experiment1/cold-start/persistent.json,experiment1/cold-start/membership
63,1,0,0,1778233542104169,1778233542104202,1778233542104225,1778233542453051,1778233542453063,1778233542104230,1778233542104308,1778233542104366,1778233542104591,1778233542104591,1778233542453045,1778233542453100,1778233542453122,1778233542509977,1778233542520703,1778233542547505,1778233542547559,33,56,348882,348894,61,139,197,422,422,348876,348931,348953,405808,416534,443336,443390,/Users/adam/Dev/Gresse/results/cold-start-s3-100/sample_063,experiment1/cold-start/persistent.json,experiment1/cold-start/membership
64,1,0,0,1778233544918956,1778233544918981,1778233544919004,1778233545263571,1778233545263600,1778233544919009,1778233544919075,1778233544919115,1778233544919290,1778233544919290,1778233545263543,1778233545263668,1778233545263686,1778233545313948,1778233545313980,1778233545338387,1778233545338439,25,48,344615,344644,53,119,159,334,334,344587,344712,344730,394992,395024,419431,419483,/Users/adam/Dev/Gresse/results/cold-start-s3-100/sample_064,experiment1/cold-start/persistent.json,experiment1/cold-start/membership
65,1,0,0,1778233547727048,1778233547727074,1778233547727098,1778233548073130,1778233548073142,1778233547727103,1778233547727172,1778233547727205,1778233547727381,1778233547727381,1778233548073125,1778233548073181,1778233548073201,1778233548125771,1778233548133083,1778233548157089,1778233548157133,26,50,346082,346094,55,124,157,333,333,346077,346133,346153,398723,406035,430041,430085,/Users/adam/Dev/Gresse/results/cold-start-s3-100/sample_065,experiment1/cold-start/persistent.json,experiment1/cold-start/membership
66,1,0,0,1778233550503279,1778233550503313,1778233550503337,1778233550882093,1778233550882106,1778233550503342,1778233550503413,1778233550503457,1778233550503625,1778233550503625,1778233550882087,1778233550882143,1778233550882163,1778233550942207,1778233550955992,1778233550977006,1778233550977061,34,58,378814,378827,63,134,178,346,346,378808,378864,378884,438928,452713,473727,473782,/Users/adam/Dev/Gresse/results/cold-start-s3-100/sample_066,experiment1/cold-start/persistent.json,experiment1/cold-start/membership
67,1,0,0,1778233553443546,1778233553443641,1778233553443660,1778233553762972,1778233553762982,1778233553443664,1778233553443820,1778233553443859,1778233553444029,1778233553444029,1778233553762967,1778233553763009,1778233553763025,1778233553810690,1778233553814964,1778233553835800,1778233553835882,95,114,319426,319436,118,274,313,483,483,319421,319463,319479,367144,371418,392254,392336,/Users/adam/Dev/Gresse/results/cold-start-s3-100/sample_067,experiment1/cold-start/persistent.json,experiment1/cold-start/membership
68,1,0,0,1778233556128184,1778233556128212,1778233556128235,1778233556478692,1778233556478702,1778233556128241,1778233556128308,1778233556128367,1778233556128536,1778233556128537,1778233556478688,1778233556478777,1778233556478820,1778233556535788,1778233556531161,1778233556553683,1778233556553734,28,51,350508,350518,57,124,183,352,353,350504,350593,350636,407604,402977,425499,425550,/Users/adam/Dev/Gresse/results/cold-start-s3-100/sample_068,experiment1/cold-start/persistent.json,experiment1/cold-start/membership
69,1,0,0,1778233558866858,1778233558866884,1778233558866907,1778233559188954,1778233559188964,1778233558866912,1778233558866975,1778233558867008,1778233558867187,1778233558867187,1778233559188950,1778233559188993,1778233559189009,1778233559236745,1778233559245023,1778233559265023,1778233559265082,26,49,322096,322106,54,117,150,329,329,322092,322135,322151,369887,378165,398165,398224,/Users/adam/Dev/Gresse/results/cold-start-s3-100/sample_069,experiment1/cold-start/persistent.json,experiment1/cold-start/membership
70,1,0,0,1778233561601646,1778233561601669,1778233561601689,1778233561933994,1778233561934004,1778233561601694,1778233561601756,1778233561601792,1778233561601959,1778233561601959,1778233561933989,1778233561934032,1778233561934048,1778233562010903,1778233562021711,1778233562043850,1778233562043896,23,43,332348,332358,48,110,146,313,313,332343,332386,332402,409257,420065,442204,442250,/Users/adam/Dev/Gresse/results/cold-start-s3-100/sample_070,experiment1/cold-start/persistent.json,experiment1/cold-start/membership
71,1,0,0,1778233564345640,1778233564345662,1778233564345690,1778233564698934,1778233564698947,1778233564345696,1778233564345758,1778233564345794,1778233564345970,1778233564345970,1778233564698929,1778233564698974,1778233564699021,1778233564754055,1778233564768071,1778233564787864,1778233564787916,22,50,353294,353307,56,118,154,330,330,353289,353334,353381,408415,422431,442224,442276,/Users/adam/Dev/Gresse/results/cold-start-s3-100/sample_071,experiment1/cold-start/persistent.json,experiment1/cold-start/membership
72,1,0,0,1778233567297031,1778233567297052,1778233567297072,1778233567625547,1778233567625557,1778233567297077,1778233567297137,1778233567297173,1778233567297313,1778233567297313,1778233567625542,1778233567625584,1778233567625662,1778233567678024,1778233567693890,1778233567724124,1778233567724169,21,41,328516,328526,46,106,142,282,282,328511,328553,328631,380993,396859,427093,427138,/Users/adam/Dev/Gresse/results/cold-start-s3-100/sample_072,experiment1/cold-start/persistent.json,experiment1/cold-start/membership
73,1,0,0,1778233570105078,1778233570105105,1778233570105129,1778233570441476,1778233570441488,1778233570105135,1778233570105206,1778233570105240,1778233570105419,1778233570105419,1778233570441471,1778233570441516,1778233570441532,1778233570488881,1778233570506959,1778233570527878,1778233570527947,27,51,336398,336410,57,128,162,341,341,336393,336438,336454,383803,401881,422800,422869,/Users/adam/Dev/Gresse/results/cold-start-s3-100/sample_073,experiment1/cold-start/persistent.json,experiment1/cold-start/membership
74,1,0,0,1778233572834441,1778233572834463,1778233572834484,1778233573151432,1778233573151441,1778233572834488,1778233572834551,1778233572834582,1778233572834742,1778233572834742,1778233573151427,1778233573151468,1778233573151483,1778233573203517,1778233573215966,1778233573238861,1778233573238910,22,43,316991,317000,47,110,141,301,301,316986,317027,317042,369076,381525,404420,404469,/Users/adam/Dev/Gresse/results/cold-start-s3-100/sample_074,experiment1/cold-start/persistent.json,experiment1/cold-start/membership
75,1,0,0,1778233575482206,1778233575482233,1778233575482258,1778233575827397,1778233575827407,1778233575482263,1778233575482334,1778233575482372,1778233575482560,1778233575482560,1778233575827393,1778233575827435,1778233575827490,1778233575888072,1778233575894431,1778233575912099,1778233575912173,27,52,345191,345201,57,128,166,354,354,345187,345229,345284,405866,412225,429893,429967,/Users/adam/Dev/Gresse/results/cold-start-s3-100/sample_075,experiment1/cold-start/persistent.json,experiment1/cold-start/membership
76,1,0,0,1778233578205792,1778233578205829,1778233578205880,1778233578570213,1778233578570225,1778233578205886,1778233578205988,1778233578206116,1778233578206435,1778233578206435,1778233578570207,1778233578570291,1778233578570312,1778233578625772,1778233578642010,1778233578664291,1778233578664335,37,88,364421,364433,94,196,324,643,643,364415,364499,364520,419980,436218,458499,458543,/Users/adam/Dev/Gresse/results/cold-start-s3-100/sample_076,experiment1/cold-start/persistent.json,experiment1/cold-start/membership
77,1,0,0,1778233581016072,1778233581016094,1778233581016114,1778233581337548,1778233581337557,1778233581016118,1778233581016178,1778233581016205,1778233581016353,1778233581016353,1778233581337543,1778233581337637,1778233581337653,1778233581401300,1778233581414155,1778233581433273,1778233581433351,22,42,321476,321485,46,106,133,281,281,321471,321565,321581,385228,398083,417201,417279,/Users/adam/Dev/Gresse/results/cold-start-s3-100/sample_077,experiment1/cold-start/persistent.json,experiment1/cold-start/membership
78,1,0,0,1778233583728202,1778233583728228,1778233583728253,1778233584049267,1778233584049276,1778233583728258,1778233583728329,1778233583728359,1778233583728529,1778233583728529,1778233584049262,1778233584049300,1778233584049345,1778233584102642,1778233584124764,1778233584148229,1778233584148270,26,51,321065,321074,56,127,157,327,327,321060,321098,321143,374440,396562,420027,420068,/Users/adam/Dev/Gresse/results/cold-start-s3-100/sample_078,experiment1/cold-start/persistent.json,experiment1/cold-start/membership
79,1,0,0,1778233586476877,1778233586476901,1778233586476921,1778233586792552,1778233586792562,1778233586476926,1778233586476987,1778233586477023,1778233586477182,1778233586477183,1778233586792548,1778233586792670,1778233586792719,1778233586851335,1778233586866085,1778233586899616,1778233586899674,24,44,315675,315685,49,110,146,305,306,315671,315793,315842,374458,389208,422739,422797,/Users/adam/Dev/Gresse/results/cold-start-s3-100/sample_079,experiment1/cold-start/persistent.json,experiment1/cold-start/membership
80,1,0,0,1778233589234983,1778233589235008,1778233589235031,1778233589585719,1778233589585729,1778233589235036,1778233589235123,1778233589235163,1778233589235362,1778233589235362,1778233589585714,1778233589585759,1778233589585777,1778233589647885,1778233589645658,1778233589671850,1778233589671902,25,48,350736,350746,53,140,180,379,379,350731,350776,350794,412902,410675,436867,436919,/Users/adam/Dev/Gresse/results/cold-start-s3-100/sample_080,experiment1/cold-start/persistent.json,experiment1/cold-start/membership
81,1,0,0,1778233592019465,1778233592019490,1778233592019514,1778233592415955,1778233592415968,1778233592019534,1778233592019608,1778233592019650,1778233592019841,1778233592019841,1778233592415950,1778233592416000,1778233592416021,1778233592478619,1778233592507193,1778233592533491,1778233592533550,25,49,396490,396503,69,143,185,376,376,396485,396535,396556,459154,487728,514026,514085,/Users/adam/Dev/Gresse/results/cold-start-s3-100/sample_081,experiment1/cold-start/persistent.json,experiment1/cold-start/membership
82,1,0,0,1778233595024070,1778233595024095,1778233595024124,1778233595335512,1778233595335521,1778233595024129,1778233595024194,1778233595024226,1778233595024406,1778233595024406,1778233595335508,1778233595335613,1778233595335645,1778233595387189,1778233595398209,1778233595420809,1778233595420857,25,54,311442,311451,59,124,156,336,336,311438,311543,311575,363119,374139,396739,396787,/Users/adam/Dev/Gresse/results/cold-start-s3-100/sample_082,experiment1/cold-start/persistent.json,experiment1/cold-start/membership
83,1,0,0,1778233597696495,1778233597696519,1778233597696539,1778233598027551,1778233598027561,1778233597696543,1778233597696611,1778233597696642,1778233597696831,1778233597696832,1778233598027546,1778233598027590,1778233598027606,1778233598081102,1778233598077644,1778233598099529,1778233598099591,24,44,331056,331066,48,116,147,336,337,331051,331095,331111,384607,381149,403034,403096,/Users/adam/Dev/Gresse/results/cold-start-s3-100/sample_083,experiment1/cold-start/persistent.json,experiment1/cold-start/membership
84,1,0,0,1778233600432313,1778233600432335,1778233600432355,1778233600816827,1778233600816839,1778233600432359,1778233600432421,1778233600432454,1778233600432618,1778233600432618,1778233600816822,1778233600816898,1778233600816934,1778233600867449,1778233600885689,1778233600906408,1778233600906462,22,42,384514,384526,46,108,141,305,305,384509,384585,384621,435136,453376,474095,474149,/Users/adam/Dev/Gresse/results/cold-start-s3-100/sample_084,experiment1/cold-start/persistent.json,experiment1/cold-start/membership
85,1,0,0,1778233603344764,1778233603344801,1778233603344826,1778233603701154,1778233603701165,1778233603344831,1778233603344902,1778233603344949,1778233603345130,1778233603345130,1778233603701149,1778233603701199,1778233603701219,1778233603752755,1778233603768128,1778233603790923,1778233603790975,37,62,356390,356401,67,138,185,366,366,356385,356435,356455,407991,423364,446159,446211,/Users/adam/Dev/Gresse/results/cold-start-s3-100/sample_085,experiment1/cold-start/persistent.json,experiment1/cold-start/membership
86,1,0,0,1778233606265802,1778233606265829,1778233606265855,1778233606620478,1778233606620493,1778233606265861,1778233606265934,1778233606265968,1778233606266149,1778233606266149,1778233606620473,1778233606620522,1778233606620541,1778233606682238,1778233606673461,1778233606696541,1778233606696592,27,53,354676,354691,59,132,166,347,347,354671,354720,354739,416436,407659,430739,430790,/Users/adam/Dev/Gresse/results/cold-start-s3-100/sample_086,experiment1/cold-start/persistent.json,experiment1/cold-start/membership
87,1,0,0,1778233609132370,1778233609132395,1778233609132423,1778233609459132,1778233609459142,1778233609132428,1778233609132496,1778233609132543,1778233609132755,1778233609132755,1778233609459127,1778233609459205,1778233609459260,1778233609563777,1778233609577773,1778233609597296,1778233609597369,25,53,326762,326772,58,126,173,385,385,326757,326835,326890,431407,445403,464926,464999,/Users/adam/Dev/Gresse/results/cold-start-s3-100/sample_087,experiment1/cold-start/persistent.json,experiment1/cold-start/membership
88,1,0,0,1778233611895262,1778233611895286,1778233611895309,1778233612247364,1778233612247373,1778233611895317,1778233611895383,1778233611895414,1778233611895600,1778233611895600,1778233612247360,1778233612247400,1778233612247416,1778233612300706,1778233612326194,1778233612358348,1778233612358402,24,47,352102,352111,55,121,152,338,338,352098,352138,352154,405444,430932,463086,463140,/Users/adam/Dev/Gresse/results/cold-start-s3-100/sample_088,experiment1/cold-start/persistent.json,experiment1/cold-start/membership
89,1,0,0,1778233614899746,1778233614899772,1778233614899796,1778233615283430,1778233615283443,1778233614899801,1778233614899870,1778233614899906,1778233614900094,1778233614900094,1778233615283425,1778233615283475,1778233615283496,1778233615331253,1778233615346111,1778233615369448,1778233615369495,26,50,383684,383697,55,124,160,348,348,383679,383729,383750,431507,446365,469702,469749,/Users/adam/Dev/Gresse/results/cold-start-s3-100/sample_089,experiment1/cold-start/persistent.json,experiment1/cold-start/membership
90,1,0,0,1778233617819153,1778233617819176,1778233617819199,1778233618249628,1778233618249642,1778233617819204,1778233617819271,1778233617819311,1778233617819502,1778233617819502,1778233618249622,1778233618249676,1778233618249697,1778233618309227,1778233618304384,1778233618326797,1778233618326853,23,46,430475,430489,51,118,158,349,349,430469,430523,430544,490074,485231,507644,507700,/Users/adam/Dev/Gresse/results/cold-start-s3-100/sample_090,experiment1/cold-start/persistent.json,experiment1/cold-start/membership
91,1,0,0,1778233620794077,1778233620794101,1778233620794128,1778233621147340,1778233621147351,1778233620794133,1778233620794199,1778233620794239,1778233620794421,1778233620794421,1778233621147334,1778233621147390,1778233621147414,1778233621203344,1778233621203101,1778233621225695,1778233621225755,24,51,353263,353274,56,122,162,344,344,353257,353313,353337,409267,409024,431618,431678,/Users/adam/Dev/Gresse/results/cold-start-s3-100/sample_091,experiment1/cold-start/persistent.json,experiment1/cold-start/membership
92,1,0,0,1778233623628215,1778233623628242,1778233623628265,1778233623984703,1778233623984714,1778233623628271,1778233623628342,1778233623628396,1778233623628582,1778233623628582,1778233623984697,1778233623984751,1778233623984772,1778233624043253,1778233624051780,1778233624071574,1778233624071629,27,50,356488,356499,56,127,181,367,367,356482,356536,356557,415038,423565,443359,443414,/Users/adam/Dev/Gresse/results/cold-start-s3-100/sample_092,experiment1/cold-start/persistent.json,experiment1/cold-start/membership
93,1,0,0,1778233626557091,1778233626557116,1778233626557143,1778233626913532,1778233626913545,1778233626557148,1778233626557213,1778233626557255,1778233626557430,1778233626557430,1778233626913527,1778233626913580,1778233626913603,1778233626962001,1778233626972888,1778233626999064,1778233626999123,25,52,356441,356454,57,122,164,339,339,356436,356489,356512,404910,415797,441973,442032,/Users/adam/Dev/Gresse/results/cold-start-s3-100/sample_093,experiment1/cold-start/persistent.json,experiment1/cold-start/membership
94,1,0,0,1778233629328298,1778233629328324,1778233629328348,1778233629706841,1778233629706852,1778233629328353,1778233629328428,1778233629328465,1778233629328657,1778233629328657,1778233629706835,1778233629706881,1778233629706902,1778233629763140,1778233629763181,1778233629784461,1778233629784512,26,50,378543,378554,55,130,167,359,359,378537,378583,378604,434842,434883,456163,456214,/Users/adam/Dev/Gresse/results/cold-start-s3-100/sample_094,experiment1/cold-start/persistent.json,experiment1/cold-start/membership
95,1,0,0,1778233632236865,1778233632236893,1778233632236924,1778233632585930,1778233632585940,1778233632236929,1778233632237008,1778233632237078,1778233632237371,1778233632237372,1778233632585924,1778233632585975,1778233632585994,1778233632642315,1778233632661287,1778233632683574,1778233632683629,28,59,349065,349075,64,143,213,506,507,349059,349110,349129,405450,424422,446709,446764,/Users/adam/Dev/Gresse/results/cold-start-s3-100/sample_095,experiment1/cold-start/persistent.json,experiment1/cold-start/membership
96,1,0,0,1778233635084985,1778233635085008,1778233635085028,1778233635418107,1778233635418122,1778233635085062,1778233635085120,1778233635085153,1778233635085298,1778233635085299,1778233635418102,1778233635418152,1778233635418172,1778233635473503,1778233635478854,1778233635502062,1778233635502131,23,43,333122,333137,77,135,168,313,314,333117,333167,333187,388518,393869,417077,417146,/Users/adam/Dev/Gresse/results/cold-start-s3-100/sample_096,experiment1/cold-start/persistent.json,experiment1/cold-start/membership
97,1,0,0,1778233637809711,1778233637809737,1778233637809761,1778233638158762,1778233638158773,1778233637809766,1778233637809838,1778233637809877,1778233637810066,1778233637810066,1778233638158756,1778233638158824,1778233638158844,1778233638227066,1778233638243894,1778233638270737,1778233638270789,26,50,349051,349062,55,127,166,355,355,349045,349113,349133,417355,434183,461026,461078,/Users/adam/Dev/Gresse/results/cold-start-s3-100/sample_097,experiment1/cold-start/persistent.json,experiment1/cold-start/membership
98,1,0,0,1778233640679245,1778233640679271,1778233640679294,1778233641026330,1778233641026340,1778233640679299,1778233640679370,1778233640679410,1778233640679585,1778233640679585,1778233641026325,1778233641026368,1778233641026384,1778233641155052,1778233641167490,1778233641186609,1778233641186679,26,49,347085,347095,54,125,165,340,340,347080,347123,347139,475807,488245,507364,507434,/Users/adam/Dev/Gresse/results/cold-start-s3-100/sample_098,experiment1/cold-start/persistent.json,experiment1/cold-start/membership
99,1,0,0,1778233643504560,1778233643504590,1778233643504614,1778233643875650,1778233643875659,1778233643504619,1778233643504688,1778233643504763,1778233643504944,1778233643504944,1778233643875645,1778233643875697,1778233643875716,1778233643933873,1778233643941222,1778233643964645,1778233643964708,30,54,371090,371099,59,128,203,384,384,371085,371137,371156,429313,436662,460085,460148,/Users/adam/Dev/Gresse/results/cold-start-s3-100/sample_099,experiment1/cold-start/persistent.json,experiment1/cold-start/membership
100,1,0,0,1778233646199203,1778233646199223,1778233646199242,1778233646516310,1778233646516320,1778233646199246,1778233646199304,1778233646199336,1778233646199493,1778233646199493,1778233646516306,1778233646516347,1778233646516362,1778233646571694,1778233646591066,1778233646614612,1778233646614662,20,39,317107,317117,43,101,133,290,290,317103,317144,317159,372491,391863,415409,415459,/Users/adam/Dev/Gresse/results/cold-start-s3-100/sample_100,experiment1/cold-start/persistent.json,experiment1/cold-start/membership
