sample_index,peer_replicas,network_latency_ms,network_latency_jitter_ms,process_start_us,logging_initialized_us,config_loaded_us,replica_with_config_completed_us,replica_task_spawned_us,crdt_pid_set_us,http_server_ready_us,network_manager_ready_us,metric_writer_ready_us,object_storage_client_start_us,object_storage_client_ready_us,replica_run_start_us,replica_init_start_us,persistent_state_fetch_completed_us,membership_descriptor_write_completed_us,membership_directory_read_completed_us,replica_init_completed_us,logging_initialized_delta_us,config_loaded_delta_us,replica_with_config_completed_delta_us,replica_task_spawned_delta_us,crdt_pid_set_delta_us,http_server_ready_delta_us,network_manager_ready_delta_us,metric_writer_ready_delta_us,object_storage_client_start_delta_us,object_storage_client_ready_delta_us,replica_run_start_delta_us,replica_init_start_delta_us,persistent_state_fetch_completed_delta_us,membership_descriptor_write_completed_delta_us,membership_directory_read_completed_delta_us,replica_init_completed_delta_us,sample_dir,persistent_path,membership_path
12,1,0,0,1778233398712679,1778233398712704,1778233398712728,1778233399047327,1778233399047338,1778233398712733,1778233398712803,1778233398712837,1778233398713016,1778233398713016,1778233399047322,1778233399047374,1778233399047393,1778233399105189,1778233399118923,1778233399145638,1778233399145691,25,49,334648,334659,54,124,158,337,337,334643,334695,334714,392510,406244,432959,433012,/Users/adam/Dev/Gresse/results/cold-start-s3-100/sample_012,experiment1/cold-start/persistent.json,experiment1/cold-start/membership
13,1,0,0,1778233401503011,1778233401503037,1778233401503060,1778233401847845,1778233401847858,1778233401503065,1778233401503136,1778233401503177,1778233401503361,1778233401503361,1778233401847840,1778233401847891,1778233401847915,1778233401910812,1778233401918276,1778233401941372,1778233401941418,26,49,344834,344847,54,125,166,350,350,344829,344880,344904,407801,415265,438361,438407,/Users/adam/Dev/Gresse/results/cold-start-s3-100/sample_013,experiment1/cold-start/persistent.json,experiment1/cold-start/membership
14,1,0,0,1778233404306892,1778233404306916,1778233404306938,1778233404663475,1778233404663487,1778233404306943,1778233404307011,1778233404307040,1778233404307215,1778233404307215,1778233404663470,1778233404663519,1778233404663553,1778233404724543,1778233404741503,1778233404761551,1778233404761610,24,46,356583,356595,51,119,148,323,323,356578,356627,356661,417651,434611,454659,454718,/Users/adam/Dev/Gresse/results/cold-start-s3-100/sample_014,experiment1/cold-start/persistent.json,experiment1/cold-start/membership
15,1,0,0,1778233407131690,1778233407131717,1778233407131741,1778233407484308,1778233407484320,1778233407131746,1778233407131833,1778233407131868,1778233407132061,1778233407132061,1778233407484303,1778233407484349,1778233407484368,1778233407542224,1778233407556184,1778233407578029,1778233407578083,27,51,352618,352630,56,143,178,371,371,352613,352659,352678,410534,424494,446339,446393,/Users/adam/Dev/Gresse/results/cold-start-s3-100/sample_015,experiment1/cold-start/persistent.json,experiment1/cold-start/membership
16,1,0,0,1778233410066434,1778233410066464,1778233410066488,1778233410413718,1778233410413729,1778233410066493,1778233410066562,1778233410066594,1778233410066769,1778233410066769,1778233410413714,1778233410413776,1778233410413798,1778233410471705,1778233410478187,1778233410503924,1778233410503977,30,54,347284,347295,59,128,160,335,335,347280,347342,347364,405271,411753,437490,437543,/Users/adam/Dev/Gresse/results/cold-start-s3-100/sample_016,experiment1/cold-start/persistent.json,experiment1/cold-start/membership
17,1,0,0,1778233412927004,1778233412927026,1778233412927046,1778233413277210,1778233413277220,1778233412927050,1778233412927108,1778233412927140,1778233412927296,1778233412927296,1778233413277205,1778233413277249,1778233413277270,1778233413329184,1778233413344954,1778233413370749,1778233413370796,22,42,350206,350216,46,104,136,292,292,350201,350245,350266,402180,417950,443745,443792,/Users/adam/Dev/Gresse/results/cold-start-s3-100/sample_017,experiment1/cold-start/persistent.json,experiment1/cold-start/membership
18,1,0,0,1778233415758332,1778233415758357,1778233415758382,1778233416124934,1778233416124965,1778233415758388,1778233415758525,1778233415758599,1778233415758847,1778233415758847,1778233416124928,1778233416124998,1778233416125027,1778233416189338,1778233416202475,1778233416227338,1778233416227392,25,50,366602,366633,56,193,267,515,515,366596,366666,366695,431006,444143,469006,469060,/Users/adam/Dev/Gresse/results/cold-start-s3-100/sample_018,experiment1/cold-start/persistent.json,experiment1/cold-start/membership
19,1,0,0,1778233418645866,1778233418645895,1778233418645918,1778233418979023,1778233418979032,1778233418645923,1778233418645990,1778233418646021,1778233418646202,1778233418646202,1778233418979019,1778233418979058,1778233418979073,1778233419040095,1778233419051947,1778233419077088,1778233419077159,29,52,333157,333166,57,124,155,336,336,333153,333192,333207,394229,406081,431222,431293,/Users/adam/Dev/Gresse/results/cold-start-s3-100/sample_019,experiment1/cold-start/persistent.json,experiment1/cold-start/membership
20,1,0,0,1778233421387707,1778233421387737,1778233421387760,1778233421711233,1778233421711244,1778233421387765,1778233421387833,1778233421387870,1778233421388043,1778233421388044,1778233421711229,1778233421711307,1778233421711325,1778233421769162,1778233421763939,1778233421785947,1778233421786018,30,53,323526,323537,58,126,163,336,337,323522,323600,323618,381455,376232,398240,398311,/Users/adam/Dev/Gresse/results/cold-start-s3-100/sample_020,experiment1/cold-start/persistent.json,experiment1/cold-start/membership
21,1,0,0,1778233424110296,1778233424110321,1778233424110344,1778233424439714,1778233424439724,1778233424110349,1778233424110417,1778233424110453,1778233424110625,1778233424110626,1778233424439709,1778233424439788,1778233424439822,1778233424496977,1778233424520346,1778233424542042,1778233424542093,25,48,329418,329428,53,121,157,329,330,329413,329492,329526,386681,410050,431746,431797,/Users/adam/Dev/Gresse/results/cold-start-s3-100/sample_021,experiment1/cold-start/persistent.json,experiment1/cold-start/membership
