sample_index,peer_replicas,network_latency_ms,network_latency_jitter_ms,process_start_us,logging_initialized_us,config_loaded_us,replica_with_config_completed_us,replica_task_spawned_us,crdt_pid_set_us,http_server_ready_us,network_manager_ready_us,metric_writer_ready_us,object_storage_client_ready_us,replica_run_start_us,replica_init_start_us,persistent_state_fetch_completed_us,membership_descriptor_write_completed_us,membership_directory_read_completed_us,replica_init_completed_us,logging_initialized_delta_us,config_loaded_delta_us,replica_with_config_completed_delta_us,replica_task_spawned_delta_us,crdt_pid_set_delta_us,http_server_ready_delta_us,network_manager_ready_delta_us,metric_writer_ready_delta_us,object_storage_client_ready_delta_us,replica_run_start_delta_us,replica_init_start_delta_us,persistent_state_fetch_completed_delta_us,membership_descriptor_write_completed_delta_us,membership_directory_read_completed_delta_us,replica_init_completed_delta_us,sample_dir,persistent_path,membership_path
1,1,0,0,1778230650992483,1778230650992508,1778230650992530,1778230651328293,1778230651328304,1778230650992538,1778230650992602,1778230650992633,1778230650992806,1778230651328287,1778230651328339,1778230651328358,1778230651389166,1778230651391910,1778230651447352,1778230651447402,25,47,335810,335821,55,119,150,323,335804,335856,335875,396683,399427,454869,454919,/Users/adam/Dev/Gresse/results/cold-start-smoke-release/sample_001,cold-start/persistent.json,cold-start/membership
2,1,0,0,1778230653696102,1778230653696130,1778230653696156,1778230654024296,1778230654024305,1778230653696166,1778230653696269,1778230653696318,1778230653696539,1778230654024292,1778230654024333,1778230654024351,1778230654107663,1778230654109138,1778230654166534,1778230654166583,28,54,328194,328203,64,167,216,437,328190,328231,328249,411561,413036,470432,470481,/Users/adam/Dev/Gresse/results/cold-start-smoke-release/sample_002,cold-start/persistent.json,cold-start/membership
3,1,0,0,1778230656478611,1778230656478636,1778230656478661,1778230656791539,1778230656791549,1778230656478669,1778230656478733,1778230656478772,1778230656478936,1778230656791535,1778230656791577,1778230656791594,1778230656854634,1778230656856098,1778230656914367,1778230656914418,25,50,312928,312938,58,122,161,325,312924,312966,312983,376023,377487,435756,435807,/Users/adam/Dev/Gresse/results/cold-start-smoke-release/sample_003,cold-start/persistent.json,cold-start/membership
