replica_pid,successful_requests,stable_successful_requests,stable_throughput_ops_per_sec
1,16592,10271,148.9150355847636
2,16414,11644,168.82160202015257
3,14485,10245,148.53807219997105
4,13785,10018,145.24689187889803
5,13506,10034,145.47886934646263
6,14824,11500,166.73380481207099
