replica_pid,successful_requests,stable_successful_requests,stable_throughput_ops_per_sec
1,14419,8969,125.0476248250027
2,12837,8760,122.13370425543802
3,12585,9128,127.26443521046099
4,11846,8744,121.91062899652398
5,11512,8731,121.72938034865632
6,11289,8747,121.95245560757036
7,10967,8617,120.13996912889377
8,11396,9016,125.70290839806269
