[2026-09-02T15:01:38.233Z INFO  gresse::http_server] running CRDT HTTP server
[2026-09-02T15:01:38.234Z INFO  gresse::http_server] listening for HTTP on 0.0.0.0:18082
[2026-09-02T15:01:38.300Z INFO  gresse::replica] replica 178835836297161905 initiating runtime at bind_http=0.0.0.0:18082 bind_internal=0.0.0.0:19082 advertised_internal=18.169.194.24:19082
[2026-09-02T15:01:38.421Z INFO  gresse::object_storage] object storage connection established: backend=s3, bucket=gresse-geo-035351467464-20260902122609-1c973c, region=eu-north-1, endpoint=AWS default endpoint resolution, first_operation=put-create, object_path=acm-sec-geo-churn-20260902T141220Z-2ff0c4b6/membership/178835836297161905,18.169.194.24:19082,24
[2026-09-02T15:01:38.529Z INFO  gresse::replica] replica 178835836297161905 restored local state from durability journal before startup
[2026-09-02T15:01:38.529Z INFO  gresse::replica] replica 178835836297161905 discovered 250 membership descriptors during init
[2026-09-02T15:01:38.529Z INFO  gresse::replica] replica 178835836297161905 startup completed
[2026-09-02T15:01:38.529Z INFO  gresse::network] replica 178835836297161905 discovered network member NetworkMember { pid: 178835836089857604, address: 13.48.31.196:19080, final_counter: None }
[2026-09-02T15:01:38.529Z INFO  gresse::network] replica 178835836297161905 discovered network member NetworkMember { pid: 178835836089858607, address: 13.48.31.196:19081, final_counter: None }
[2026-09-02T15:01:38.529Z INFO  gresse::network] replica 178835836297161905 discovered network member NetworkMember { pid: 178835836089859607, address: 13.48.31.196:19082, final_counter: None }
[2026-09-02T15:01:38.529Z INFO  gresse::network] replica 178835836297161905 discovered network member NetworkMember { pid: 178835836089860607, address: 13.48.31.196:19083, final_counter: None }
[2026-09-02T15:01:38.529Z INFO  gresse::network] replica 178835836297161905 discovered network member NetworkMember { pid: 178835836089861606, address: 13.48.31.196:19084, final_counter: None }
[2026-09-02T15:01:38.529Z INFO  gresse::network] replica 178835836297161905 discovered network member NetworkMember { pid: 178835836128988905, address: 3.71.184.22:19080, final_counter: None }
[2026-09-02T15:01:38.529Z INFO  gresse::network] replica 178835836297161905 discovered network member NetworkMember { pid: 178835836128989904, address: 3.71.184.22:19081, final_counter: None }
[2026-09-02T15:01:38.529Z INFO  gresse::network] replica 178835836297161905 discovered network member NetworkMember { pid: 178835836128990907, address: 3.71.184.22:19082, final_counter: None }
