replica_pid,successful_requests,stable_successful_requests,stable_throughput_ops_per_sec
1,16972,10802,159.3287953684025
2,14882,10101,148.98909109574464
3,13556,9422,138.97388538799188
4,14138,10184,150.21333568152295
5,14217,10400,153.39932159150027
6,13372,10014,147.70584677089266
