replica_pid,successful_requests,stable_successful_requests,stable_throughput_ops_per_sec
1,14673,9016,125.83640524804802
2,12559,8482,118.383361725149
3,12028,8572,119.63949265597468
4,11908,8849,123.50558452084927
5,11003,8284,115.6198736773325
6,11231,8632,120.47691327652512
7,11653,9188,128.23701102695932
8,11349,9149,127.69268762360153
