[2026-09-03T11:13:11.762Z INFO  gresse::network] replica 178842683849156814 registered bidirectional network channel for replica 178842683956181215
[2026-09-03T11:13:11.762Z INFO  gresse::replica] replica 178842683849156814 established peer replication connection with replica 178842683956181215
[2026-09-03T11:13:11.762Z INFO  gresse::network] replica 178842683849156814 registered bidirectional network channel for replica 178842683956184214
[2026-09-03T11:13:11.762Z INFO  gresse::replica] replica 178842683849156814 established peer replication connection with replica 178842683956184214
[2026-09-03T11:13:11.762Z INFO  gresse::network] replica 178842683849156814 registered bidirectional network channel for replica 178842683956185213
[2026-09-03T11:13:11.762Z INFO  gresse::replica] replica 178842683849156814 established peer replication connection with replica 178842683956185213
[2026-09-03T11:13:11.762Z INFO  gresse::network] replica 178842683849156814 registered bidirectional network channel for replica 178842683956182215
[2026-09-03T11:13:11.762Z INFO  gresse::replica] replica 178842683849156814 established peer replication connection with replica 178842683956182215
[2026-09-03T11:13:11.762Z INFO  gresse::network] replica 178842683849156814 registered bidirectional network channel for replica 178842683956183215
[2026-09-03T11:13:11.762Z INFO  gresse::replica] replica 178842683849156814 established peer replication connection with replica 178842683956183215
[2026-09-03T11:13:11.770Z INFO  gresse::network] replica 178842683849156814 registered bidirectional network channel for replica 178842684286993613
[2026-09-03T11:13:11.770Z INFO  gresse::replica] replica 178842683849156814 established peer replication connection with replica 178842684286993613
[2026-09-03T11:13:11.770Z INFO  gresse::network] replica 178842683849156814 registered bidirectional network channel for replica 178842684286995615
[2026-09-03T11:13:11.770Z INFO  gresse::replica] replica 178842683849156814 established peer replication connection with replica 178842684286995615
[2026-09-03T11:13:11.772Z INFO  gresse::network] replica 178842683849156814 registered bidirectional network channel for replica 178842684286996615
[2026-09-03T11:13:11.772Z INFO  gresse::replica] replica 178842683849156814 established peer replication connection with replica 178842684286996615
[2026-09-03T11:13:11.772Z INFO  gresse::network] replica 178842683849156814 registered bidirectional network channel for replica 178842684286997615
[2026-09-03T11:13:11.772Z INFO  gresse::replica] replica 178842683849156814 established peer replication connection with replica 178842684286997615
[2026-09-03T11:13:11.772Z INFO  gresse::network] replica 178842683849156814 registered bidirectional network channel for replica 178842684286994612
[2026-09-03T11:13:11.772Z INFO  gresse::replica] replica 178842683849156814 established peer replication connection with replica 178842684286994612
[2026-09-03T11:13:11.777Z INFO  gresse::network] replica 178842683849156814 registered bidirectional network channel for replica 178842684426436115
[2026-09-03T11:13:11.777Z INFO  gresse::replica] replica 178842683849156814 established peer replication connection with replica 178842684426436115
[2026-09-03T11:13:11.777Z INFO  gresse::network] replica 178842683849156814 registered bidirectional network channel for replica 178842684426434112
[2026-09-03T11:13:11.777Z INFO  gresse::replica] replica 178842683849156814 established peer replication connection with replica 178842684426434112
[2026-09-03T11:13:11.778Z INFO  gresse::network] replica 178842683849156814 registered bidirectional network channel for replica 178842684426432114
[2026-09-03T11:13:11.778Z INFO  gresse::replica] replica 178842683849156814 established peer replication connection with replica 178842684426432114
[2026-09-03T11:13:11.778Z INFO  gresse::network] replica 178842683849156814 registered bidirectional network channel for replica 178842684426435115
[2026-09-03T11:13:11.778Z INFO  gresse::replica] replica 178842683849156814 established peer replication connection with replica 178842684426435115
[2026-09-03T11:13:11.779Z INFO  gresse::network] replica 178842683849156814 registered bidirectional network channel for replica 178842684426433113
[2026-09-03T11:13:11.779Z INFO  gresse::replica] replica 178842683849156814 established peer replication connection with replica 178842684426433113
[2026-09-03T11:13:11.799Z INFO  gresse::network] replica 178842683849156814 registered bidirectional network channel for replica 178842684114091215
[2026-09-03T11:13:11.799Z INFO  gresse::replica] replica 178842683849156814 established peer replication connection with replica 178842684114091215
[2026-09-03T11:13:11.799Z INFO  gresse::network] replica 178842683849156814 registered bidirectional network channel for replica 178842684114092215
[2026-09-03T11:13:11.799Z INFO  gresse::replica] replica 178842683849156814 established peer replication connection with replica 178842684114092215
[2026-09-03T11:13:11.800Z INFO  gresse::network] replica 178842683849156814 registered bidirectional network channel for replica 178842684114090212
[2026-09-03T11:13:11.800Z INFO  gresse::replica] replica 178842683849156814 established peer replication connection with replica 178842684114090212
[2026-09-03T11:13:11.800Z INFO  gresse::network] replica 178842683849156814 registered bidirectional network channel for replica 178842684114093215
[2026-09-03T11:13:11.800Z INFO  gresse::replica] replica 178842683849156814 established peer replication connection with replica 178842684114093215
[2026-09-03T11:13:11.800Z INFO  gresse::network] replica 178842683849156814 registered bidirectional network channel for replica 178842684114094214
[2026-09-03T11:13:11.800Z INFO  gresse::replica] replica 178842683849156814 established peer replication connection with replica 178842684114094214
[2026-09-03T11:13:16.501Z INFO  gresse::network] replica 178842683849156814 registered bidirectional network channel for replica 178842683849157813
[2026-09-03T11:13:16.501Z INFO  gresse::replica] replica 178842683849156814 established peer replication connection with replica 178842683849157813
[2026-09-03T11:13:16.661Z INFO  gresse::replica] replica 178842683849156814 observed shutdown descriptor for replica 178842683849155814 with final counter Some(85)
[2026-09-03T11:13:16.662Z INFO  gresse::network] replica 178842683849156814 discovered network member NetworkMember { pid: 178842683849154814, address: 13.53.121.51:19080, final_counter: None }
[2026-09-03T11:13:16.662Z INFO  gresse::network] replica 178842683849156814 discovered network member NetworkMember { pid: 178842683849158812, address: 13.53.121.51:19084, final_counter: None }
[2026-09-03T11:13:16.662Z WARN  gresse::network] replica 178842683849156814 peer connection attempt failed: could not connect to 13.53.121.51:19084: Connection refused (os error 111)
[2026-09-03T11:13:16.662Z WARN  gresse::network] replica 178842683849156814 rejected peer handshake: expected 178842683849154814, received 178842683849154815
[2026-09-03T11:13:18.174Z WARN  gresse::object_storage] slow object storage download: path=acm-sec-geo-churn-20260903T091329Z-d96b4f84/membership/178842683849155814,13.53.121.51:19081,70,85, bytes=44496514, etag=Some("\"483daa76b9d7979c88675266dbe647bf\""), version=None, get_elapsed_ms=22, body_elapsed_ms=425, decode_elapsed_ms=1064, total_elapsed_ms=1512
[2026-09-03T11:13:21.035Z INFO  gresse::network] replica 178842683849156814 registered bidirectional network channel for replica 178842683849158812
[2026-09-03T11:13:21.035Z INFO  gresse::replica] replica 178842683849156814 established peer replication connection with replica 178842683849158812
[2026-09-03T11:13:21.662Z INFO  gresse::network] replica 178842683849156814 discovered network member NetworkMember { pid: 178842683849154814, address: 13.53.121.51:19080, final_counter: None }
[2026-09-03T11:13:21.663Z WARN  gresse::network] replica 178842683849156814 rejected peer handshake: expected 178842683849154814, received 178842683849154815
[2026-09-03T11:13:22.774Z WARN  gresse::network] peer connection write failed: Broken pipe (os error 32)
