[2026-09-01T10:19:43.037Z INFO  gresse::http_server] running CRDT HTTP server
[2026-09-01T10:19:43.038Z INFO  gresse::http_server] listening for HTTP on 0.0.0.0:18080
[2026-09-01T10:19:43.077Z INFO  gresse::replica] replica 178825480759179608 initiating runtime at bind_http=0.0.0.0:18080 bind_internal=0.0.0.0:19080 advertised_internal=3.68.220.182:19080
[2026-09-01T10:19:43.187Z INFO  gresse::object_storage] object storage connection established: backend=s3, bucket=gresse-geo-035351467464-20260901084800-ec90d0, region=eu-north-1, endpoint=AWS default endpoint resolution, first_operation=put-create, object_path=acm-sec-geo-churn-20260901T092623Z-21106dd4/membership/178825480759179608,3.68.220.182:19080,14
[2026-09-01T10:19:43.321Z INFO  gresse::replica] replica 178825480759179608 restored local state from durability journal before startup
[2026-09-01T10:19:43.321Z INFO  gresse::replica] replica 178825480759179608 discovered 189 membership descriptors during init
[2026-09-01T10:19:43.321Z INFO  gresse::replica] replica 178825480759179608 startup completed
[2026-09-01T10:19:43.321Z INFO  gresse::network] replica 178825480759179608 discovered network member NetworkMember { pid: 178825480714263208, address: 16.170.108.158:19080, final_counter: None }
[2026-09-01T10:19:43.321Z INFO  gresse::network] replica 178825480759179608 discovered network member NetworkMember { pid: 178825480714264208, address: 16.170.108.158:19081, final_counter: None }
[2026-09-01T10:19:43.321Z INFO  gresse::network] replica 178825480759179608 discovered network member NetworkMember { pid: 178825480714266207, address: 16.170.108.158:19083, final_counter: None }
[2026-09-01T10:19:43.321Z INFO  gresse::network] replica 178825480759179608 discovered network member NetworkMember { pid: 178825480714267207, address: 16.170.108.158:19084, final_counter: None }
[2026-09-01T10:19:43.321Z INFO  gresse::network] replica 178825480759179608 discovered network member NetworkMember { pid: 178825480759179607, address: 3.68.220.182:19080, final_counter: None }
[2026-09-01T10:19:43.321Z INFO  gresse::network] replica 178825480759179608 discovered network member NetworkMember { pid: 178825480759180607, address: 3.68.220.182:19081, final_counter: None }
[2026-09-01T10:19:43.321Z INFO  gresse::network] replica 178825480759179608 registered bidirectional network channel for replica 178825480843466707
[2026-09-01T10:19:43.321Z INFO  gresse::network] replica 178825480759179608 discovered network member NetworkMember { pid: 178825480759181607, address: 3.68.220.182:19082, final_counter: None }
[2026-09-01T10:19:43.321Z INFO  gresse::network] replica 178825480759179608 discovered network member NetworkMember { pid: 178825480759182607, address: 3.68.220.182:19083, final_counter: None }
[2026-09-01T10:19:43.321Z INFO  gresse::network] replica 178825480759179608 discovered network member NetworkMember { pid: 178825480759183607, address: 3.68.220.182:19084, final_counter: None }
[2026-09-01T10:19:43.321Z INFO  gresse::network] replica 178825480759179608 discovered network member NetworkMember { pid: 178825480843462707, address: 34.245.195.69:19080, final_counter: None }
[2026-09-01T10:19:43.321Z INFO  gresse::network] replica 178825480759179608 discovered network member NetworkMember { pid: 178825480843463707, address: 34.245.195.69:19081, final_counter: None }
[2026-09-01T10:19:43.321Z INFO  gresse::network] replica 178825480759179608 discovered network member NetworkMember { pid: 178825480843464707, address: 34.245.195.69:19082, final_counter: None }
[2026-09-01T10:19:43.321Z INFO  gresse::network] replica 178825480759179608 discovered network member NetworkMember { pid: 178825480843465707, address: 34.245.195.69:19083, final_counter: None }
[2026-09-01T10:19:43.321Z INFO  gresse::network] replica 178825480759179608 discovered network member NetworkMember { pid: 178825480957157907, address: 18.130.228.25:19080, final_counter: None }
[2026-09-01T10:19:43.321Z INFO  gresse::network] replica 178825480759179608 discovered network member NetworkMember { pid: 178825480957158907, address: 18.130.228.25:19081, final_counter: None }
[2026-09-01T10:19:43.321Z INFO  gresse::network] replica 178825480759179608 discovered network member NetworkMember { pid: 178825480957159907, address: 18.130.228.25:19082, final_counter: None }
[2026-09-01T10:19:43.321Z INFO  gresse::network] replica 178825480759179608 discovered network member NetworkMember { pid: 178825480957160907, address: 18.130.228.25:19083, final_counter: None }
[2026-09-01T10:19:43.321Z INFO  gresse::network] replica 178825480759179608 discovered network member NetworkMember { pid: 178825480957161907, address: 18.130.228.25:19084, final_counter: None }
[2026-09-01T10:19:43.321Z INFO  gresse::network] replica 178825480759179608 discovered network member NetworkMember { pid: 178825481046239407, address: 13.38.41.188:19080, final_counter: None }
[2026-09-01T10:19:43.321Z INFO  gresse::network] replica 178825480759179608 discovered network member NetworkMember { pid: 178825481046240407, address: 13.38.41.188:19081, final_counter: None }
