sample_index,peer_replicas,network_latency_ms,network_latency_jitter_ms,process_start_us,logging_initialized_us,config_loaded_us,replica_with_config_completed_us,replica_task_spawned_us,crdt_pid_set_us,http_server_ready_us,network_manager_ready_us,metric_writer_ready_us,object_storage_client_ready_us,replica_run_start_us,replica_init_start_us,persistent_state_fetch_completed_us,membership_descriptor_write_completed_us,membership_directory_read_completed_us,replica_init_completed_us,logging_initialized_delta_us,config_loaded_delta_us,replica_with_config_completed_delta_us,replica_task_spawned_delta_us,crdt_pid_set_delta_us,http_server_ready_delta_us,network_manager_ready_delta_us,metric_writer_ready_delta_us,object_storage_client_ready_delta_us,replica_run_start_delta_us,replica_init_start_delta_us,persistent_state_fetch_completed_delta_us,membership_descriptor_write_completed_delta_us,membership_directory_read_completed_delta_us,replica_init_completed_delta_us,sample_dir,persistent_path,membership_path
1,1,0,0,1778231827706496,1778231827706523,1778231827706552,1778231828031323,1778231828031333,1778231827706561,1778231827706628,1778231827706666,1778231827706853,1778231828031318,1778231828031367,1778231828031385,1778231828092312,1778231828093888,1778231828150874,1778231828150924,27,56,324827,324837,65,132,170,357,324822,324871,324889,385816,387392,444378,444428,/Users/adam/Dev/Gresse/results/cold-start-smoke-release-fastpath/sample_001,cold-start/persistent.json,cold-start/membership
2,1,0,0,1778231830466734,1778231830466759,1778231830466782,1778231830798349,1778231830798358,1778231830466789,1778231830466847,1778231830466879,1778231830467045,1778231830798344,1778231830798421,1778231830798437,1778231830860639,1778231830862137,1778231830945561,1778231830945616,25,48,331615,331624,55,113,145,311,331610,331687,331703,393905,395403,478827,478882,/Users/adam/Dev/Gresse/results/cold-start-smoke-release-fastpath/sample_002,cold-start/persistent.json,cold-start/membership
3,1,0,0,1778231833287363,1778231833287388,1778231833287410,1778231833604902,1778231833604912,1778231833287417,1778231833287482,1778231833287517,1778231833287667,1778231833604896,1778231833604941,1778231833604959,1778231833665537,1778231833668097,1778231833723554,1778231833723597,25,47,317539,317549,54,119,154,304,317533,317578,317596,378174,380734,436191,436234,/Users/adam/Dev/Gresse/results/cold-start-smoke-release-fastpath/sample_003,cold-start/persistent.json,cold-start/membership
