replica_pid,successful_requests,stable_successful_requests,stable_throughput_ops_per_sec
1,21799,12573,193.79563572783232
2,19732,12654,195.04414018134017
3,12108,7138,110.02252826097725
4,16483,10647,164.10897427775635
