[2026-09-01T09:37:43.384Z INFO  gresse::http_server] running CRDT HTTP server
[2026-09-01T09:37:43.385Z INFO  gresse::http_server] listening for HTTP on 0.0.0.0:18084
[2026-09-01T09:37:43.422Z INFO  gresse::replica] replica 178825480714267203 initiating runtime at bind_http=0.0.0.0:18084 bind_internal=0.0.0.0:19084 advertised_internal=16.170.108.158:19084
[2026-09-01T09:37:43.464Z INFO  gresse::object_storage] object storage connection established: backend=s3, bucket=gresse-geo-035351467464-20260901084800-ec90d0, region=eu-north-1, endpoint=AWS default endpoint resolution, first_operation=put-create, object_path=acm-sec-geo-churn-20260901T092623Z-21106dd4/membership/178825480714267203,16.170.108.158:19084,5
[2026-09-01T09:37:43.524Z INFO  gresse::replica] replica 178825480714267203 restored local state from durability journal before startup
[2026-09-01T09:37:43.524Z INFO  gresse::replica] replica 178825480714267203 discovered 60 membership descriptors during init
[2026-09-01T09:37:43.524Z INFO  gresse::replica] replica 178825480714267203 startup completed
[2026-09-01T09:37:43.524Z INFO  gresse::network] replica 178825480714267203 discovered network member NetworkMember { pid: 178825480714263203, address: 16.170.108.158:19080, final_counter: None }
[2026-09-01T09:37:43.524Z INFO  gresse::network] replica 178825480714267203 discovered network member NetworkMember { pid: 178825480714264203, address: 16.170.108.158:19081, final_counter: None }
[2026-09-01T09:37:43.524Z INFO  gresse::network] replica 178825480714267203 discovered network member NetworkMember { pid: 178825480714265203, address: 16.170.108.158:19082, final_counter: None }
[2026-09-01T09:37:43.524Z INFO  gresse::network] replica 178825480714267203 discovered network member NetworkMember { pid: 178825480714266203, address: 16.170.108.158:19083, final_counter: None }
[2026-09-01T09:37:43.524Z INFO  gresse::network] replica 178825480714267203 discovered network member NetworkMember { pid: 178825480714267202, address: 16.170.108.158:19084, final_counter: None }
[2026-09-01T09:37:43.524Z INFO  gresse::network] replica 178825480714267203 discovered network member NetworkMember { pid: 178825480759179602, address: 3.68.220.182:19080, final_counter: None }
[2026-09-01T09:37:43.524Z INFO  gresse::network] replica 178825480714267203 discovered network member NetworkMember { pid: 178825480759180602, address: 3.68.220.182:19081, final_counter: None }
[2026-09-01T09:37:43.524Z INFO  gresse::network] replica 178825480714267203 discovered network member NetworkMember { pid: 178825480759181602, address: 3.68.220.182:19082, final_counter: None }
[2026-09-01T09:37:43.524Z INFO  gresse::network] replica 178825480714267203 discovered network member NetworkMember { pid: 178825480759182602, address: 3.68.220.182:19083, final_counter: None }
[2026-09-01T09:37:43.524Z INFO  gresse::network] replica 178825480714267203 discovered network member NetworkMember { pid: 178825480759183602, address: 3.68.220.182:19084, final_counter: None }
