[2026-08-19T13:51:38.111Z INFO  gresse::http_server] running CRDT HTTP server
[2026-08-19T13:51:38.112Z INFO  gresse::http_server] listening for HTTP on 0.0.0.0:18080
[2026-08-19T13:51:38.142Z INFO  gresse::replica] replica 178714744544926846 initiating runtime at bind_http=0.0.0.0:18080 bind_internal=0.0.0.0:19080 advertised_internal=54.184.138.82:19080
[2026-08-19T13:51:38.629Z INFO  gresse::object_storage] object storage connection established: backend=s3, bucket=gresse-geo-035351467464-20260819104151-566c04, region=eu-north-1, endpoint=AWS default endpoint resolution, first_operation=get, object_path=acm-sec-geo-churn-smoke-20260819T135045Z-25226496/persistent.json
[2026-08-19T13:51:38.812Z INFO  gresse::replica] replica 178714744544926846 discovered 16 membership descriptors during init
[2026-08-19T13:51:38.812Z INFO  gresse::network] replica 178714744544926846 discovered network member NetworkMember { pid: 178714744544926831, address: 16.170.40.83:19080, final_counter: None }
[2026-08-19T13:51:38.812Z INFO  gresse::network] replica 178714744544926846 discovered network member NetworkMember { pid: 178714744544926832, address: 16.170.40.83:19081, final_counter: None }
[2026-08-19T13:51:38.812Z INFO  gresse::network] replica 178714744544926846 discovered network member NetworkMember { pid: 178714744544926833, address: 16.170.40.83:19082, final_counter: None }
[2026-08-19T13:51:38.812Z INFO  gresse::network] replica 178714744544926846 discovered network member NetworkMember { pid: 178714744544926834, address: 16.170.40.83:19083, final_counter: None }
[2026-08-19T13:51:38.812Z INFO  gresse::network] replica 178714744544926846 discovered network member NetworkMember { pid: 178714744544926835, address: 16.170.40.83:19084, final_counter: None }
[2026-08-19T13:51:38.812Z INFO  gresse::network] replica 178714744544926846 discovered network member NetworkMember { pid: 178714744544926836, address: 63.186.69.1:19080, final_counter: None }
[2026-08-19T13:51:38.812Z INFO  gresse::network] replica 178714744544926846 discovered network member NetworkMember { pid: 178714744544926837, address: 63.186.69.1:19081, final_counter: None }
