replica_pid,successful_requests,stable_successful_requests,stable_throughput_ops_per_sec
1,19113,11977,179.86754318041227
2,16087,10565,158.6624859064086
3,16060,11190,168.04857712188473
4,17089,12480,187.42146939062746
5,14984,10766,161.6810528413057
