[2026-08-28T13:24:48.916Z INFO  gresse::http_server] running CRDT HTTP server
[2026-08-28T13:24:48.917Z INFO  gresse::http_server] listening for HTTP on 0.0.0.0:18083
[2026-08-28T13:24:48.944Z INFO  gresse::replica] replica 178792343597984001 initiating runtime at bind_http=0.0.0.0:18083 bind_internal=0.0.0.0:19083 advertised_internal=13.37.225.238:19083
[2026-08-28T13:24:49.065Z INFO  gresse::object_storage] object storage connection established: backend=s3, bucket=gresse-geo-035351467464-20260828124038-be821e, region=eu-north-1, endpoint=AWS default endpoint resolution, first_operation=get, object_path=acm-sec-geo-churn-20260828T132329Z-550e9e91/persistent.json
[2026-08-28T13:24:49.117Z INFO  gresse::replica] replica 178792343597984001 discovered 22 membership descriptors during init
[2026-08-28T13:24:49.117Z INFO  gresse::replica] replica 178792343597984001 startup completed
[2026-08-28T13:24:49.117Z INFO  gresse::network] replica 178792343597984001 discovered network member NetworkMember { pid: 178792343266886001, address: 16.192.159.169:19080, final_counter: None }
[2026-08-28T13:24:49.117Z INFO  gresse::network] replica 178792343597984001 discovered network member NetworkMember { pid: 178792343266887001, address: 16.192.159.169:19081, final_counter: None }
[2026-08-28T13:24:49.117Z INFO  gresse::network] replica 178792343597984001 discovered network member NetworkMember { pid: 178792343266888001, address: 16.192.159.169:19082, final_counter: None }
[2026-08-28T13:24:49.117Z INFO  gresse::network] replica 178792343597984001 discovered network member NetworkMember { pid: 178792343266889001, address: 16.192.159.169:19083, final_counter: None }
[2026-08-28T13:24:49.117Z INFO  gresse::network] replica 178792343597984001 discovered network member NetworkMember { pid: 178792343266890001, address: 16.192.159.169:19084, final_counter: None }
[2026-08-28T13:24:49.117Z INFO  gresse::network] replica 178792343597984001 discovered network member NetworkMember { pid: 178792343327013801, address: 3.121.180.49:19080, final_counter: None }
[2026-08-28T13:24:49.117Z INFO  gresse::network] replica 178792343597984001 discovered network member NetworkMember { pid: 178792343327014801, address: 3.121.180.49:19081, final_counter: None }
[2026-08-28T13:24:49.117Z INFO  gresse::network] replica 178792343597984001 discovered network member NetworkMember { pid: 178792343327015801, address: 3.121.180.49:19082, final_counter: None }
[2026-08-28T13:24:49.117Z INFO  gresse::network] replica 178792343597984001 discovered network member NetworkMember { pid: 178792343327016801, address: 3.121.180.49:19083, final_counter: None }
[2026-08-28T13:24:49.117Z INFO  gresse::network] replica 178792343597984001 registered bidirectional network channel for replica 178792343327017801
[2026-08-28T13:24:49.117Z INFO  gresse::network] replica 178792343597984001 discovered network member NetworkMember { pid: 178792343404851501, address: 52.17.146.22:19080, final_counter: None }
[2026-08-28T13:24:49.117Z INFO  gresse::network] replica 178792343597984001 discovered network member NetworkMember { pid: 178792343404852501, address: 52.17.146.22:19081, final_counter: None }
[2026-08-28T13:24:49.117Z INFO  gresse::network] replica 178792343597984001 discovered network member NetworkMember { pid: 178792343404853501, address: 52.17.146.22:19082, final_counter: None }
[2026-08-28T13:24:49.117Z INFO  gresse::network] replica 178792343597984001 discovered network member NetworkMember { pid: 178792343513164001, address: 3.8.155.72:19080, final_counter: None }
[2026-08-28T13:24:49.117Z INFO  gresse::network] replica 178792343597984001 discovered network member NetworkMember { pid: 178792343513165001, address: 3.8.155.72:19081, final_counter: None }
[2026-08-28T13:24:49.117Z INFO  gresse::network] replica 178792343597984001 discovered network member NetworkMember { pid: 178792343513166001, address: 3.8.155.72:19082, final_counter: None }
[2026-08-28T13:24:49.117Z INFO  gresse::network] replica 178792343597984001 discovered network member NetworkMember { pid: 178792343513167001, address: 3.8.155.72:19083, final_counter: None }
[2026-08-28T13:24:49.117Z INFO  gresse::network] replica 178792343597984001 discovered network member NetworkMember { pid: 178792343513168001, address: 3.8.155.72:19084, final_counter: None }
[2026-08-28T13:24:49.117Z INFO  gresse::network] replica 178792343597984001 discovered network member NetworkMember { pid: 178792343597981001, address: 13.37.225.238:19080, final_counter: None }
[2026-08-28T13:24:49.117Z INFO  gresse::network] replica 178792343597984001 discovered network member NetworkMember { pid: 178792343597982001, address: 13.37.225.238:19081, final_counter: None }
[2026-08-28T13:24:49.117Z INFO  gresse::network] replica 178792343597984001 discovered network member NetworkMember { pid: 178792343597983001, address: 13.37.225.238:19082, final_counter: None }
[2026-08-28T13:24:49.117Z INFO  gresse::replica] replica 178792343597984001 established peer replication connection with replica 178792343327017801
[2026-08-28T13:24:49.117Z INFO  gresse::network] replica 178792343597984001 registered bidirectional network channel for replica 178792343597983001
[2026-08-28T13:24:49.117Z INFO  gresse::replica] replica 178792343597984001 established peer replication connection with replica 178792343597983001
[2026-08-28T13:24:49.118Z INFO  gresse::network] replica 178792343597984001 registered bidirectional network channel for replica 178792343597982001
[2026-08-28T13:24:49.118Z INFO  gresse::replica] replica 178792343597984001 established peer replication connection with replica 178792343597982001
[2026-08-28T13:24:49.118Z INFO  gresse::network] replica 178792343597984001 registered bidirectional network channel for replica 178792343597981001
[2026-08-28T13:24:49.118Z INFO  gresse::replica] replica 178792343597984001 established peer replication connection with replica 178792343597981001
[2026-08-28T13:24:49.122Z INFO  gresse::network] replica 178792343597984001 registered bidirectional network channel for replica 178792343513168001
[2026-08-28T13:24:49.122Z INFO  gresse::replica] replica 178792343597984001 established peer replication connection with replica 178792343513168001
[2026-08-28T13:24:49.131Z INFO  gresse::network] replica 178792343597984001 registered bidirectional network channel for replica 178792343513165001
[2026-08-28T13:24:49.131Z INFO  gresse::replica] replica 178792343597984001 established peer replication connection with replica 178792343513165001
[2026-08-28T13:24:49.131Z INFO  gresse::network] replica 178792343597984001 registered bidirectional network channel for replica 178792343513167001
[2026-08-28T13:24:49.131Z INFO  gresse::replica] replica 178792343597984001 established peer replication connection with replica 178792343513167001
[2026-08-28T13:24:49.133Z INFO  gresse::network] replica 178792343597984001 registered bidirectional network channel for replica 178792343327013801
[2026-08-28T13:24:49.133Z INFO  gresse::replica] replica 178792343597984001 established peer replication connection with replica 178792343327013801
[2026-08-28T13:24:49.133Z INFO  gresse::network] replica 178792343597984001 registered bidirectional network channel for replica 178792343327014801
