replica_pid,successful_requests,stable_successful_requests,stable_throughput_ops_per_sec
1,14877,7231,102.30771165846956
2,12133,7297,103.24151182019808
3,10401,7486,105.91557591969341
4,1697,120,1.697818475870052
5,9701,7608,107.6416913701613
