[2026-09-03T09:38:58.061Z INFO  gresse::http_server] running CRDT HTTP server
[2026-09-03T09:38:58.062Z INFO  gresse::http_server] listening for HTTP on 0.0.0.0:18081
[2026-09-03T09:38:58.097Z INFO  gresse::replica] replica 178842684286994604 initiating runtime at bind_http=0.0.0.0:18081 bind_internal=0.0.0.0:19081 advertised_internal=35.179.101.242:19081
[2026-09-03T09:38:58.796Z INFO  gresse::object_storage] object storage connection established: backend=s3, bucket=gresse-geo-035351467464-20260903085118-6fb999, region=eu-north-1, endpoint=AWS default endpoint resolution, first_operation=put-create, object_path=acm-sec-geo-churn-20260903T091329Z-d96b4f84/membership/178842684286994604,35.179.101.242:19081,0
[2026-09-03T09:38:59.242Z WARN  gresse::object_storage] slow object storage download: path=acm-sec-geo-churn-20260903T091329Z-d96b4f84/persistent.json, bytes=8961666, etag=Some("\"524b95c8bea51226a100127c2230811c\""), version=None, get_elapsed_ms=784, body_elapsed_ms=293, decode_elapsed_ms=67, total_elapsed_ms=1145
[2026-09-03T09:38:59.696Z INFO  gresse::replica] replica 178842684286994604 discovered 129 membership descriptors during init
[2026-09-03T09:38:59.696Z INFO  gresse::replica] replica 178842684286994604 startup completed
[2026-09-03T09:38:59.696Z INFO  gresse::network] replica 178842684286994604 discovered network member NetworkMember { pid: 178842683849154804, address: 13.53.121.51:19080, final_counter: None }
[2026-09-03T09:38:59.696Z INFO  gresse::network] replica 178842684286994604 registered bidirectional network channel for replica 178842684426436103
[2026-09-03T09:38:59.696Z INFO  gresse::network] replica 178842684286994604 discovered network member NetworkMember { pid: 178842683849155803, address: 13.53.121.51:19081, final_counter: None }
[2026-09-03T09:38:59.696Z INFO  gresse::network] replica 178842684286994604 discovered network member NetworkMember { pid: 178842683849156802, address: 13.53.121.51:19082, final_counter: None }
[2026-09-03T09:38:59.696Z INFO  gresse::network] replica 178842684286994604 discovered network member NetworkMember { pid: 178842683849157801, address: 13.53.121.51:19083, final_counter: None }
[2026-09-03T09:38:59.696Z INFO  gresse::network] replica 178842684286994604 discovered network member NetworkMember { pid: 178842683849158804, address: 13.53.121.51:19084, final_counter: None }
[2026-09-03T09:38:59.696Z INFO  gresse::network] replica 178842684286994604 discovered network member NetworkMember { pid: 178842683956181204, address: 52.59.198.67:19080, final_counter: None }
[2026-09-03T09:38:59.696Z INFO  gresse::network] replica 178842684286994604 discovered network member NetworkMember { pid: 178842683956182204, address: 52.59.198.67:19081, final_counter: None }
